time	x1	x2	x3	v1	v2	a
81900	0.007070820692997163	-0.00703391605068661	0.0	4.7389269091280954e-7	4.766743128450939e-7	3.206144770747302e-11
82000	0.007118209962088444	-0.0069862486194021	0.0	4.706652579408734e-7	4.79841913866206e-7	3.227432971936143e-11
82100	0.007165276487882531	-0.006938264428015479	0.0	4.6741668646612915e-7	4.829875632969295e-7	3.24857147474427e-11
82200	0.007212018156529144	-0.0068899656716857865	0.0	4.64147127122681e-7	4.8611112055219e-7	3.269559343448147e-11
82300	0.007258432869241413	-0.006841354559630568	0.0	4.608567314728227e-7	4.892124460983061e-7	3.2903956498583295e-11
82400	0.007304518542388695	-0.0067924333150207366	0.0	4.57545651999465e-7	4.922914014590192e-7	3.311079473357674e-11
82500	0.007350273107588641	-0.006743204174874834	0.0	4.5421404209852596e-7	4.953478492214666e-7	3.3316099009390514e-11
82600	0.007395694511798494	-0.0066936693899526875	0.0	4.508620560712833e-7	4.983816530420961e-7	3.3519860272426145e-11
82700	0.007440780717405622	-0.006643831224648478	0.0	4.474898491166908e-7	5.01392677652523e-7	3.372206954592564e-11
82800	0.0074855297023172914	-0.006593691956883226	0.0	4.4409757732365734e-7	5.04380788865329e-7	3.39227179303344e-11
82900	0.0075299394600496575	-0.006543253877996693	0.0	4.4068539766329137e-7	5.07345853579802e-7	3.412179660365946e-11
83000	0.007574007999815987	-0.006492519292638713	0.0	4.3725346798110906e-7	5.102877397876181e-7	3.431929682182293e-11
83100	0.0076177333466140975	-0.006441490518659951	0.0	4.33801946989208e-7	5.132063165784648e-7	3.451520991901053e-11
83200	0.0076611135413130185	-0.006390169887002105	0.0	4.303309942584065e-7	5.161014541456042e-7	3.470952730801532e-11
83300	0.007704146640738859	-0.0063385597415875445	0.0	4.268407702103488e-7	5.189730237913784e-7	3.4902240480576805e-11
83400	0.007746830717759894	-0.006286662439208407	0.0	4.233314361095773e-7	5.218208979326548e-7	3.509334100771507e-11
83500	0.007789163861370851	-0.0062344803494151415	0.0	4.198031540555713e-7	5.246449501062116e-7	3.528282054006003e-11
83600	0.007831144176776408	-0.00618201585440452	0.0	4.1625608697475364e-7	5.274450549740647e-7	3.547067080817619e-11
83700	0.007872769785473884	-0.006129271348907114	0.0	4.126903986124654e-7	5.302210883287336e-7	3.565688362288206e-11
83800	0.00791403882533513	-0.006076249240074241	0.0	4.091062535249089e-7	5.329729270984479e-7	3.584145087556519e-11
83900	0.00795494945068762	-0.006022951947364396	0.0	4.055038170710597e-7	5.357004493522935e-7	3.602436453849225e-11
84000	0.007995499832394726	-0.005969381902429166	0.0	4.0188325540454833e-7	5.384035343052987e-7	3.620561666511404e-11
84100	0.00803568815793518	-0.005915541548998636	0.0	3.982447354655117e-7	5.410820623234594e-7	3.638519939036608e-11
84200	0.008075512631481731	-0.00586143334276629	0.0	3.945884249724153e-7	5.437359149287037e-7	3.656310493096391e-11
84300	0.008114971473978973	-0.00580705975127342	0.0	3.909144924138459e-7	5.463649748037965e-7	3.6739325585693956e-11
84400	0.008154062923220358	-0.00575242325379304	0.0	3.87223107040276e-7	5.489691257971824e-7	3.691385373569923e-11
84500	0.008192785233924386	-0.005697526341213322	0.0	3.835144388557999e-7	5.515482529277675e-7	3.708668184476041e-11
84600	0.008231136677809966	-0.005642371515920545	0.0	3.7978865860984275e-7	5.541022423896412e-7	3.72578024595719e-11
84700	0.00826911554367095	-0.005586961291681581	0.0	3.7604593778884143e-7	5.56630981556735e-7	3.7427208210013206e-11
84800	0.008306720137449835	-0.005531298193525908	0.0	3.7228644860789986e-7	5.591343589874217e-7	3.759489180941539e-11
84900	0.008343948782310625	-0.005475384757627166	0.0	3.685103640024176e-7	5.616122644290515e-7	3.776084605482263e-11
85000	0.008380799818710866	-0.0054192235311842606	0.0	3.647178576196927e-7	5.640645888224279e-7	3.7925063827249054e-11
85100	0.008417271604472835	-0.005362817072302017	0.0	3.609091038104996e-7	5.664912243062208e-7	3.808753809193068e-11
85200	0.008453362514853884	-0.005306167949871396	0.0	3.570842776206424e-7	5.688920642213181e-7	3.824826189857247e-11
85300	0.008489070942615948	-0.0052492787434492635	0.0	3.5324355478248335e-7	5.712670031151161e-7	3.8407228381590646e-11
85400	0.008524395298094197	-0.005192152043137752	0.0	3.4938711170644833e-7	5.736159367457463e-7	3.8564430760350105e-11
85500	0.008559334009264842	-0.005134790449463178	0.0	3.4551512547250863e-7	5.75938762086242e-7	3.8719862339397085e-11
85600	0.008593885521812093	-0.005077196573254554	0.0	3.4162777382163995e-7	5.78235377328641e-7	3.8873516508686865e-11
85700	0.008628048299194257	-0.00501937303552169	0.0	3.377252351472593e-7	5.805056818880274e-7	3.902538674380679e-11
85800	0.008661820822708983	-0.0049613224673328874	0.0	3.3380768848663983e-7	5.827495764065101e-7	3.917546660619447e-11
85900	0.008695201591557648	-0.004903047509692236	0.0	3.298753135123047e-7	5.849669627571394e-7	3.932374974335097e-11
86000	0.008728189122908878	-0.004844550813416522	0.0	3.2592829052339976e-7	5.871577440477607e-7	3.9470229889049545e-11
86100	0.008760781951961219	-0.004785835039011746	0.0	3.219668004370458e-7	5.893218246248062e-7	3.9614900863539295e-11
86200	0.008792978632004924	-0.004726902856549265	0.0	3.179910247796714e-7	5.914591100770235e-7	3.975775657374406e-11
86300	0.008824777734482892	-0.004667756945541563	0.0	3.1400114567832575e-7	5.935695072391418e-7	3.989879101345672e-11
86400	0.008856177849050724	-0.004608399994817648	0.0	3.099973458519729e-7	5.956529241954751e-7	4.003799826352846e-11
86500	0.00888717758363592	-0.0045488347023981005	0.0	3.0597980860276753e-7	5.977092702834628e-7	4.017537249205345e-11
86600	0.008917775564496197	-0.004489063775369754	0.0	3.0194871780731264e-7	5.997384560971479e-7	4.031090795454864e-11
86700	0.008947970436276929	-0.0044290899297600396	0.0	2.9790425790789975e-7	6.017403934905912e-7	4.0444598994128966e-11
86800	0.008977760862067719	-0.00436891589041098	0.0	2.93846613903732e-7	6.037149955812239e-7	4.0576440041677563e-11
86900	0.009007145523458092	-0.004308544390852858	0.0	2.8977597134213084e-7	6.056621767531364e-7	4.070642561601145e-11
87000	0.009036123120592305	-0.004247978173177545	0.0	2.856925163097266e-7	6.075818526603045e-7	4.0834550324042395e-11
87100	0.009064692372223277	-0.004187219987911515	0.0	2.815964354236333e-7	6.094739402297523e-7	4.096080886093307e-11
87200	0.00909285201576564	-0.004126272593888539	0.0	2.774879158226084e-7	6.113383576646527e-7	4.108519601024846e-11
87300	0.009120600807347902	-0.004065138758122074	0.0	2.7336714515819816e-7	6.131750244473641e-7	4.1207706644102614e-11
87400	0.00914793752186372	-0.004003821255677337	0.0	2.692343115858681e-7	6.149838613424045e-7	4.132833572330074e-11
87500	0.009174860953022307	-0.003942322869543097	0.0	2.650896037561204e-7	6.167647903993627e-7	4.144707829747648e-11
87600	0.009201369913397919	-0.003880646390503161	0.0	2.6093321080559794e-7	6.185177349557458e-7	4.156392950522473e-11
87700	0.009227463234478478	-0.0038187946170075864	0.0	2.5676532234817497e-7	6.202426196397641e-7	4.1678884574229486e-11
87800	0.009253139766713296	-0.00375677035504361	0.0	2.525861284660362e-7	6.219393703730533e-7	4.179193882138751e-11
87900	0.0092783983795599	-0.0036945764180063047	0.0	2.4839581970074353e-7	6.236079143733326e-7	4.190308765292677e-11
